,index,HR_Mean,HR_Median,HR_std,HR_Min,HR_Max,HR_AUC,Round,Phase,Individual,Puzzler,Frustrated,Cohort
981,94,79.13373134328357,77.75,3.3372395436826,75.33,87.85,26431.615,round_1,phase2,8,0,5,D1_1
982,107,89.5339455782313,86.475,6.645188981339113,82.68,104.4,26234.48,round_1,phase1,9,1,0,D1_2
983,50,69.9052249134948,72.05,4.725067169709448,59.43,75.38,20135.255,round_3,phase1,5,0,2,D1_1
984,16,71.92974025974026,72.17500000000001,4.5149557405894205,62.78,80.98,22077.91,round_2,phase2,2,0,5,D1_1
985,132,65.49806020066889,64.45,2.19947864087509,62.7,71.4,19517.395,round_3,phase3,12,1,1,D1_2
986,41,68.43320945945948,60.115,16.643294353960943,52.95,107.32,20185.13,round_2,phase1,4,1,2,D1_1
987,105,80.29020547945204,79.635,2.8548577926146077,76.13,88.6,23359.415,round_1,phase3,9,1,0,D1_2
988,29,85.68652027027026,86.50999999999999,2.8775795595641878,76.78,89.68,25284.370000000003,round_2,phase1,3,1,4,D1_1
989,126,73.15719594594594,73.28999999999999,1.5276874876034428,70.77,75.62,21580.835,round_4,phase3,11,0,1,D1_2
990,80,71.27470790378007,69.53,6.331068126412963,63.05,87.33,20666.765,round_4,phase1,7,1,3,D1_1
991,27,83.5448,82.95,2.499542249450912,79.5,88.13,27067.16,round_2,phase3,3,1,4,D1_1
992,101,78.98031358885017,78.65,4.585720566944895,63.83,88.7,22596.095,round_2,phase1,9,1,1,D1_2
993,1,70.98109677419355,70.57,2.5178789984426624,67.12,78.22,21930.4,round_3,phase2,1,1,5,D1_1
994,21,78.53584775086506,70.18,15.509766324769757,68.4,113.78,22607.06,round_1,phase3,2,0,2,D1_1
995,77,73.62045871559633,74.235,1.8043781293763272,69.63,77.2,15975.45,round_2,phase1,7,1,2,D1_1
996,5,74.37206081081081,74.05,2.061858338116128,71.27,79.22,21940.505000000005,round_2,phase1,1,1,0,D1_1
997,74,67.77526501766785,67.83,2.1867051991748085,63.33,73.42,19112.025,round_3,phase1,7,1,4,D1_1
998,96,75.62666666666667,75.07,2.864189640867129,70.85,82.33,21932.160000000003,round_3,phase3,9,1,2,D1_2
999,47,68.0904608294931,62.325,15.504658772996372,52.18,104.03,29483.045,round_1,phase1,4,1,2,D1_1
